Sample,Tissue_Source,Myxospore_Density,SD,Counter
CONT-0709,Surr_area_R,70721.4,0,Snyder
CONT-0709,R_plug,8928.6,,Daly
CONT-0709,Surr_area_L,0,0,Snyder
S2-0708,Surr_area_R,1153169,87143.4,Snyder
S2-0708,R_plug,992339.8,49241.4,Snyder
S2-0708,Surr_area_L,940186.2,215272.5,Snyder
S2-0722,Surr_area_R,1174081.9,262168.8,Snyder
S2-0722,R_plug,929532.6,87637.2,Snyder
S2-0722,Surr_area_L,655976.7,51538.4,Snyder
S4-0701,Surr_area_R,639409.2,38208.2,Snyder
S4-0701,R_plug,713788.3,24620.7,Daly
S4-0701,Surr_area_L,503889.7,87513.2,Snyder
S4-0705,Surr_area_R,2556818.2,401765.2,Snyder
S4-0705,R_plug,2401129.9,474400.7,Snyder
S4-0705,Surr_area_L,1696299,141113.5,Snyder
S4-0707,Surr_area_R,634835.5,63224.9,Snyder
S4-0707,R_plug,580357,88388.3,Daly
S4-0707,Surr_area_L,1026785.7,88388.3,Snyder
S430-0801,Surr_area_R,1943651.9,226960.1,Snyder
S430-0801,Surr_area_L,1634754.3,12772.9,Talmadge
S430-0801,R_plug,2855051,207059.1,Snyder
S430-0812,R_plug,1092143.9,64896,Snyder
S430-0812,L_plug,1802367.3,12681,Snyder
S430-0812,Surr_area_R,643382.4,25996.6,Snyder
S430-1204,L_plug,998946.9,185444.3,Snyder
S430-1204,Surr_area_R,538321.2,167744.3,Snyder
S430-1204,R_plug,528295,12663.1,Snyder
S430-1206,R_plug,321691,90988,Snyder
S430-1206,L_plug,864835.9,12608.9,Snyder
S430-1206,Surr_area_R,263828.2,90060.9,Snyder
S430-1208,L_plug,363263.8,39517.9,Snyder
S430-1208,Surr_area_L,601131.5,225034,Snyder
S430-1208,R_plug,147929,78451.2,Snyder
